Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772110638,5,,Aggregated,3.000000,0.000000,660,660,740,750,750,760,760,760,760,760,760,2782,0,720.0,699.0819802751678,179.83191600069404,862.3421660158783,92.0
1772110639,5,GET,/,3.000000,0.000000,660,730,750,750,760,760,760,760,760,760,760,2785,0,720.0,699.0716988185071,179.83191600069404,862.3421660158783,92.0
1772110639,5,,Aggregated,3.000000,0.000000,660,730,750,750,760,760,760,760,760,760,760,2785,0,720.0,699.0716988185071,179.83191600069404,862.3421660158783,92.0
1772110640,5,GET,/,3.000000,0.000000,660,730,750,750,760,760,760,760,760,760,760,2788,0,720.0,699.0448703972768,179.83191600069404,862.3421660158783,92.0
1772110640,5,,Aggregated,3.000000,0.000000,660,730,750,750,760,760,760,760,760,760,760,2788,0,720.0,699.0448703972768,179.83191600069404,862.3421660158783,92.0
1772110641,5,GET,/,3.000000,0.000000,660,680,740,750,750,760,760,760,760,760,760,2790,0,720.0,699.02573794825,179.83191600069404,862.3421660158783,92.0
1772110641,5,,Aggregated,3.000000,0.000000,660,680,740,750,750,760,760,760,760,760,760,2790,0,720.0,699.02573794825,179.83191600069404,862.3421660158783,92.0
1772110642,5,GET,/,2.800000,0.000000,660,670,740,740,750,760,760,760,760,760,760,2793,0,720.0,698.9622682003837,179.83191600069404,862.3421660158783,92.0
1772110642,5,,Aggregated,2.800000,0.000000,660,670,740,740,750,760,760,760,760,760,760,2793,0,720.0,698.9622682003837,179.83191600069404,862.3421660158783,92.0
1772110643,5,GET,/,3.000000,0.000000,660,680,740,740,750,760,760,760,760,760,760,2797,0,720.0,698.9547699315855,179.83191600069404,862.3421660158783,92.0
1772110643,5,,Aggregated,3.000000,0.000000,660,680,740,740,750,760,760,760,760,760,760,2797,0,720.0,698.9547699315855,179.83191600069404,862.3421660158783,92.0
1772110644,5,GET,/,3.000000,0.000000,660,730,740,740,750,760,760,760,760,760,760,2800,0,720.0,698.9693301934624,179.83191600069404,862.3421660158783,92.0
1772110644,5,,Aggregated,3.000000,0.000000,660,730,740,740,750,760,760,760,760,760,760,2800,0,720.0,698.9693301934624,179.83191600069404,862.3421660158783,92.0
1772110645,5,GET,/,3.000000,0.000000,670,730,740,750,750,760,760,760,760,760,760,2803,0,720.0,698.9851325667785,179.83191600069404,862.3421660158783,92.0
1772110645,5,,Aggregated,3.000000,0.000000,670,730,740,750,750,760,760,760,760,760,760,2803,0,720.0,698.9851325667785,179.83191600069404,862.3421660158783,92.0
1772110646,5,GET,/,3.000000,0.000000,670,730,740,750,750,760,760,760,760,760,760,2805,0,720.0,698.9830857845656,179.83191600069404,862.3421660158783,92.0
1772110646,5,,Aggregated,3.000000,0.000000,670,730,740,750,750,760,760,760,760,760,760,2805,0,720.0,698.9830857845656,179.83191600069404,862.3421660158783,92.0
1772110647,5,GET,/,3.000000,0.000000,680,730,740,750,760,760,760,760,760,760,760,2808,0,720.0,699.0092865625802,179.83191600069404,862.3421660158783,92.0
1772110647,5,,Aggregated,3.000000,0.000000,680,730,740,750,760,760,760,760,760,760,760,2808,0,720.0,699.0092865625802,179.83191600069404,862.3421660158783,92.0
1772110648,5,GET,/,3.000000,0.000000,680,730,740,750,760,760,770,770,770,770,770,2811,0,720.0,699.0362238529864,179.83191600069404,862.3421660158783,92.0
1772110648,5,,Aggregated,3.000000,0.000000,680,730,740,750,760,760,770,770,770,770,770,2811,0,720.0,699.0362238529864,179.83191600069404,862.3421660158783,92.0
1772110649,5,GET,/,2.900000,0.000000,730,730,750,750,760,760,770,770,770,770,770,2814,0,720.0,699.0558683666449,179.83191600069404,862.3421660158783,92.0
1772110649,5,,Aggregated,2.900000,0.000000,730,730,750,750,760,760,770,770,770,770,770,2814,0,720.0,699.0558683666449,179.83191600069404,862.3421660158783,92.0
1772110650,5,GET,/,3.000000,0.000000,730,740,750,750,760,760,770,770,770,770,770,2817,0,720.0,699.0760865579199,179.83191600069404,862.3421660158783,92.0
1772110650,5,,Aggregated,3.000000,0.000000,730,740,750,750,760,760,770,770,770,770,770,2817,0,720.0,699.0760865579199,179.83191600069404,862.3421660158783,92.0
1772110651,5,GET,/,3.000000,0.000000,730,750,750,760,760,760,770,770,770,770,770,2820,0,720.0,699.100146158425,179.83191600069404,862.3421660158783,92.0
1772110651,5,,Aggregated,3.000000,0.000000,730,750,750,760,760,760,770,770,770,770,770,2820,0,720.0,699.100146158425,179.83191600069404,862.3421660158783,92.0
1772110652,5,GET,/,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2823,0,720.0,699.1292940137388,179.83191600069404,862.3421660158783,92.0
1772110652,5,,Aggregated,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2823,0,720.0,699.1292940137388,179.83191600069404,862.3421660158783,92.0
1772110653,5,GET,/,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2825,0,720.0,699.0916507525072,179.83191600069404,862.3421660158783,92.0
1772110653,5,,Aggregated,2.800000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2825,0,720.0,699.0916507525072,179.83191600069404,862.3421660158783,92.0
1772110654,5,GET,/,2.900000,0.000000,730,750,760,760,760,770,770,770,770,770,770,2829,0,720.0,699.0561635294488,179.83191600069404,862.3421660158783,92.0
1772110654,5,,Aggregated,2.900000,0.000000,730,750,760,760,760,770,770,770,770,770,770,2829,0,720.0,699.0561635294488,179.83191600069404,862.3421660158783,92.0
1772110655,5,GET,/,3.000000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2832,0,720.0,699.074771245348,179.83191600069404,862.3421660158783,92.0
1772110655,5,,Aggregated,3.000000,0.000000,740,750,760,760,760,770,770,770,770,770,770,2832,0,720.0,699.074771245348,179.83191600069404,862.3421660158783,92.0
1772110656,5,GET,/,3.000000,0.000000,740,750,760,760,770,770,770,770,770,770,770,2835,0,720.0,699.1342808055688,179.83191600069404,862.3421660158783,92.0
1772110656,5,,Aggregated,3.000000,0.000000,740,750,760,760,770,770,770,770,770,770,770,2835,0,720.0,699.1342808055688,179.83191600069404,862.3421660158783,92.0
1772110657,5,GET,/,2.800000,0.000000,740,750,750,760,760,770,770,770,770,770,770,2838,0,720.0,699.1576003639046,179.83191600069404,862.3421660158783,92.0
1772110657,5,,Aggregated,2.800000,0.000000,740,750,750,760,760,770,770,770,770,770,770,2838,0,720.0,699.1576003639046,179.83191600069404,862.3421660158783,92.0
1772110658,5,GET,/,2.800000,0.000000,740,750,750,760,760,770,770,770,770,770,770,2840,0,720.0,699.154904547814,179.83191600069404,862.3421660158783,92.0
1772110658,5,,Aggregated,2.800000,0.000000,740,750,750,760,760,770,770,770,770,770,770,2840,0,720.0,699.154904547814,179.83191600069404,862.3421660158783,92.0
